Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
102684,-455.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102618,-454.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102553,-452.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102489,-450.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102427,-448.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102366,-449.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102304,-450.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102241,-451.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102177,-452.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102114,-450.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102052,-447.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101991,-448.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101930,-449.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101868,-450.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101806,-450.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101743,-450.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101681,-449.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101618,-452.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101554,-453.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101490,-451.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101427,-452.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101363,-452.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101299,-453.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101234,-455.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101168,-455.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101102,-455.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101036,-456.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100969,-457.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100902,-457.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100835,-456.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100768,-457.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100700,-457.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100633,-458.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100565,-458.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100498,-456.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100432,-454.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100367,-454.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100301,-457.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100232,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100163,-459.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100095,-458.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100028,-456.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99961,-457.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99894,-457.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99828,-457.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99760,-459.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99691,-460.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99622,-459.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99553,-460.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99484,-460.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99414,-460.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99345,-460.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99275,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99205,-462.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
99134,-463.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
