Age,state,smoothing,residuals,variance,ac1,standard_deviation,Record,Period,tsid
587,22,13,9,17.70734463276836,-0.06657785948893,4.20800958087887,construction_activity_BMIII,BMIII,0
588,3,13,-10,19.637005649717512,-0.14154171087208112,4.431366115513083,construction_activity_BMIII,BMIII,0
589,10,13,-3,19.84632768361582,-0.1026157331513286,4.454921737092114,construction_activity_BMIII,BMIII,0
590,10,13,-3,19.948870056497174,-0.09214902203258853,4.466415795299087,construction_activity_BMIII,BMIII,0
591,5,14,-9,21.45649717514124,-0.06029243023796105,4.632115842154775,construction_activity_BMIII,BMIII,0
592,14,14,0,21.41242937853107,-0.06236029120710381,4.627356629711079,construction_activity_BMIII,BMIII,0
593,16,14,2,21.087853107344625,-0.04730196479295804,4.592151250486489,construction_activity_BMIII,BMIII,0
594,17,14,3,20.888135593220333,-0.03814618097714293,4.570353989924668,construction_activity_BMIII,BMIII,0
595,25,14,11,22.726271186440673,-0.01050393302214208,4.767207902582042,construction_activity_BMIII,BMIII,0
596,12,15,-3,22.726271186440673,-0.029129187648510028,4.767207902582042,construction_activity_BMIII,BMIII,0
597,17,15,2,22.559039548022593,-0.06350578153174907,4.749635727929311,construction_activity_BMIII,BMIII,0
598,23,15,8,21.642937853107338,-0.02617940039325877,4.652197099554933,construction_activity_BMIII,BMIII,0
599,8,15,-7,22.379661016949147,-0.07012213799967315,4.7307146412512715,construction_activity_BMIII,BMIII,0
600,18,16,2,22.41920903954802,-0.077079107505071,4.734892716793911,construction_activity_BMIII,BMIII,0
601,8,16,-8,23.554802259887,-0.08453901718097567,4.853328987394838,construction_activity_BMIII,BMIII,0
602,11,16,-5,24.016666666666662,-0.05014775050289269,4.9006802248939545,construction_activity_BMIII,BMIII,0
603,10,17,-7,24.728531073446323,-0.025117782944503907,4.97277900911013,construction_activity_BMIII,BMIII,0
604,11,17,-6,25.31186440677966,0.007516324659381485,5.031089783215925,construction_activity_BMIII,BMIII,0
605,17,17,0,24.898022598870053,0.014281106761446371,4.98979183923238,construction_activity_BMIII,BMIII,0
606,19,18,1,24.846327683615815,0.010094955871192338,4.984609080320724,construction_activity_BMIII,BMIII,0
607,19,18,1,24.707344632768358,0.012868545421442588,4.970648311112782,construction_activity_BMIII,BMIII,0
608,26,19,7,25.520903954802257,0.018338221768815027,5.051821845117091,construction_activity_BMIII,BMIII,0
609,15,19,-4,25.779378531073444,-0.0006273755489155432,5.077339710032552,construction_activity_BMIII,BMIII,0
610,41,19,22,33.858474576271185,-0.05097468143944721,5.818803534771662,construction_activity_BMIII,BMIII,0
611,10,20,-10,35.507344632768365,-0.15528427649251933,5.958803959920846,construction_activity_BMIII,BMIII,0
612,21,20,1,35.460734463276836,-0.15271014777334022,5.9548916416066575,construction_activity_BMIII,BMIII,0
613,19,20,-1,35.19209039548022,-0.16286557430224205,5.93229217044139,construction_activity_BMIII,BMIII,0
614,14,20,-6,35.5412429378531,-0.1548312684713671,5.9616476697179195,construction_activity_BMIII,BMIII,0
615,22,21,1,35.494632768361576,-0.15908011544978687,5.957737218807286,construction_activity_BMIII,BMIII,0
616,15,21,-6,35.96497175141242,-0.15795965823629649,5.997080268881885,construction_activity_BMIII,BMIII,0
617,31,21,10,37.56497175141242,-0.18536007706815902,6.129026982434685,construction_activity_BMIII,BMIII,0
618,31,21,10,38.854237288135586,-0.13428730127514693,6.233316716494966,construction_activity_BMIII,BMIII,0
619,41,21,20,45.25734463276836,-0.04558552214750964,6.727357923640481,construction_activity_BMIII,BMIII,0
620,15,21,-6,46.00310734463276,-0.09129680683722016,6.7825590557423645,construction_activity_BMIII,BMIII,0
621,25,21,4,45.961581920903946,-0.0908628151146905,6.779497173161439,construction_activity_BMIII,BMIII,0
622,33,21,12,47.44039548022598,-0.06695383029800185,6.8876988523182385,construction_activity_BMIII,BMIII,0
623,42,21,21,53.935310734463265,0.015262122484287717,7.344066362340639,construction_activity_BMIII,BMIII,0
624,28,21,7,54.484745762711846,0.05128326942062097,7.381378310499459,construction_activity_BMIII,BMIII,0
625,25,21,4,54.28107344632767,0.05798270271880048,7.3675690323421925,construction_activity_BMIII,BMIII,0
626,16,21,-5,54.91836158192089,0.05070938376416813,7.410692382086905,construction_activity_BMIII,BMIII,0
627,19,21,-2,54.853107344632754,0.06299470864430287,7.406288364939131,construction_activity_BMIII,BMIII,0
628,24,21,3,54.443785310734455,0.048382368060613176,7.37860320865233,construction_activity_BMIII,BMIII,0
629,11,21,-10,55.43615819209039,0.054525551094404476,7.445546198371909,construction_activity_BMIII,BMIII,0
630,16,21,-5,55.675423728813556,0.06602277231582425,7.46159659381379,construction_activity_BMIII,BMIII,0
631,24,20,4,55.220338983050844,0.06591646581316978,7.431038889889545,construction_activity_BMIII,BMIII,0
632,15,20,-5,55.675423728813556,0.059118626316234976,7.46159659381379,construction_activity_BMIII,BMIII,0
633,17,20,-3,55.92203389830508,0.06939529918246128,7.478103629818531,construction_activity_BMIII,BMIII,0
634,9,20,-11,56.794067796610165,0.07032021558408909,7.536183901459024,construction_activity_BMIII,BMIII,0
635,18,20,-2,56.554802259887005,0.08240977966807574,7.520292697753659,construction_activity_BMIII,BMIII,0
