Age,state,smoothing,residuals,variance,ac1,Record,Period,tsid
-108025.0,-477.0,-469.7793152538958,-7.220684746104212,,,End_of_glaciation_I,I,1
-107924.79540709812,-476.65393746662136,-469.6941610562019,-6.959776410419465,,,End_of_glaciation_I,I,1
-107824.59081419624,-476.0452928895984,-469.5258846438585,-6.519408245739896,,,End_of_glaciation_I,I,1
-107724.38622129436,-474.6912317327767,-469.2784475321052,-5.412784200671524,,,End_of_glaciation_I,I,1
-107624.18162839249,-474.1,-468.9576284656471,-5.142371534352947,,,End_of_glaciation_I,I,1
-107523.9770354906,-474.1,-468.570813429091,-5.529186570909019,,,End_of_glaciation_I,I,1
-107423.77244258871,-473.8003207902644,-468.12671272071736,-5.673608069547015,,,End_of_glaciation_I,I,1
-107323.56784968683,-469.6054517586745,-467.6351722604352,-1.9702794982393357,,,End_of_glaciation_I,I,1
-107223.36325678496,-465.52044006153176,-467.10680985909477,1.5863697975630089,,,End_of_glaciation_I,I,1
-107123.15866388308,-461.5857551405612,-466.55258824251024,4.966833101949021,,,End_of_glaciation_I,I,1
-107022.9540709812,-461.5,-465.9835689760983,4.483568976098297,,,End_of_glaciation_I,I,1
-106922.74947807932,-462.9392032951531,-465.4106401798083,2.4714368846551906,,,End_of_glaciation_I,I,1
-106822.54488517746,-465.3995110427426,-464.8440402089542,-0.5554708337883767,,,End_of_glaciation_I,I,1
-106722.34029227558,-463.5388703944028,-464.29335053593445,0.7544801415316442,,,End_of_glaciation_I,I,1
-106622.1356993737,-461.3809817907679,-463.7670505805917,2.386068789823753,,,End_of_glaciation_I,I,1
-106521.93110647182,-459.5359661331477,-463.2722301189102,3.7362639857624913,,,End_of_glaciation_I,I,1
-106421.72651356994,-461.3452157272094,-462.8148569008059,1.4696411735965285,,,End_of_glaciation_I,I,1
-106321.52192066806,-460.5490373463235,-462.3992925885827,1.850255242259209,,,End_of_glaciation_I,I,1
-106221.31732776618,-457.5918489606974,-462.0284041741108,4.436555213413385,,,End_of_glaciation_I,I,1
-106121.1127348643,-451.6377067608804,-461.70349097125046,10.065784210370055,,,End_of_glaciation_I,I,1
-106020.90814196244,-455.3952290310694,-461.42465262858315,6.029423597513755,,,End_of_glaciation_I,I,1
-105920.70354906056,-457.80155819793646,-461.1906138762898,3.3890556783533157,,,End_of_glaciation_I,I,1
-105820.49895615868,-458.5,-460.99885601414854,2.4988560141485436,,,End_of_glaciation_I,I,1
-105720.2943632568,-458.5,-460.84580404322185,2.3458040432218468,,,End_of_glaciation_I,I,1
-105620.08977035493,-461.2485212247736,-460.7271390443127,-0.5213821804608756,,,End_of_glaciation_I,I,1
-105519.88517745303,-462.56570558031945,-460.63786321121944,-1.9278423691000057,,,End_of_glaciation_I,I,1
-105419.68058455116,-460.82062166550696,-460.57251996902045,-0.2481016964865148,,,End_of_glaciation_I,I,1
-105319.47599164926,-460.0096562674586,-460.5253808944181,0.5157246269595248,,,End_of_glaciation_I,I,1
-105219.27139874738,-460.4014290334912,-460.4905193565635,0.08909032307229836,,,End_of_glaciation_I,I,1
-105119.0668058455,-462.03460977493074,-460.4620751247134,-1.5725346502173352,,,End_of_glaciation_I,I,1
-105018.86221294364,-463.5940458146253,-460.4344186199228,-3.159627194702523,,,End_of_glaciation_I,I,1
-104918.65762004176,-462.48804378491207,-460.40217996635675,-2.0858638185553104,,,End_of_glaciation_I,I,1
-104818.45302713988,-460.1,-460.3603810460671,0.26038104606709567,,,End_of_glaciation_I,I,1
-104718.248434238,-460.43627863212686,-460.3044471748723,-0.13183145725457734,,,End_of_glaciation_I,I,1
-104618.04384133613,-461.1,-460.2302897915625,-0.8697102084375388,,,End_of_glaciation_I,I,1
-104517.83924843423,-461.1,-460.1343383107864,-0.9656616892136185,,,End_of_glaciation_I,I,1
-104417.63465553235,-461.3635155400041,-460.01366622486523,-1.3498493151388402,,,End_of_glaciation_I,I,1
-104317.43006263048,-461.2968037872328,-459.86593802617176,-1.4308657610610567,,,End_of_glaciation_I,I,1
-104217.2254697286,-459.8130347849098,-459.68945233250247,-0.12358245240733368,,,End_of_glaciation_I,I,1
-104117.02087682672,-459.9337146049575,-459.483205439734,-0.45050916522353646,,,End_of_glaciation_I,I,1
-104016.81628392484,-460.4655979719654,-459.246985466361,-1.2186125056043693,,,End_of_glaciation_I,I,1
-103916.61169102296,-461.0743794943169,-458.98130783998727,-2.0930716543296057,,,End_of_glaciation_I,I,1
-103816.40709812108,-462.1024704244955,-458.6873864194699,-3.4150840050256193,,,End_of_glaciation_I,I,1
-103716.2025052192,-461.9333507306889,-458.36728323148685,-3.566067499202063,,,End_of_glaciation_I,I,1
-103615.99791231733,-461.8375086986778,-458.02387352122753,-3.813635177450294,,,End_of_glaciation_I,I,1
-103515.79331941545,-462.3067037810253,-457.66081979565587,-4.645883985369437,,,End_of_glaciation_I,I,1
-103415.58872651355,-459.828271928019,-457.28247072173065,-2.5458012062883313,,,End_of_glaciation_I,I,1
-103315.38413361167,-456.9636927422326,-456.89375725392205,-0.06993548831053431,,,End_of_glaciation_I,I,1
-103215.1795407098,-457.9952106103402,-456.5001612588678,-1.495049351472403,,,End_of_glaciation_I,I,1
-103114.97494780792,-453.3955049582463,-456.1075996171132,2.7120946588668744,,,End_of_glaciation_I,I,1
-103014.77035490604,-453.69793801188376,-455.72226112471947,2.0243231128357024,,,End_of_glaciation_I,I,1
-102914.56576200416,-455.2620199911431,-455.350494657908,0.08847466676485283,,,End_of_glaciation_I,I,1
