Age,tree_felling,Record,Transition_start,Transition_end,Period,tsid
622,33,construction_activity_BMIII,684,705,BMIII,0
623,42,construction_activity_BMIII,684,705,BMIII,0
624,28,construction_activity_BMIII,684,705,BMIII,0
625,25,construction_activity_BMIII,684,705,BMIII,0
626,16,construction_activity_BMIII,684,705,BMIII,0
627,19,construction_activity_BMIII,684,705,BMIII,0
628,24,construction_activity_BMIII,684,705,BMIII,0
629,11,construction_activity_BMIII,684,705,BMIII,0
630,16,construction_activity_BMIII,684,705,BMIII,0
631,24,construction_activity_BMIII,684,705,BMIII,0
632,15,construction_activity_BMIII,684,705,BMIII,0
633,17,construction_activity_BMIII,684,705,BMIII,0
634,9,construction_activity_BMIII,684,705,BMIII,0
635,18,construction_activity_BMIII,684,705,BMIII,0
636,35,construction_activity_BMIII,684,705,BMIII,0
637,21,construction_activity_BMIII,684,705,BMIII,0
638,11,construction_activity_BMIII,684,705,BMIII,0
639,3,construction_activity_BMIII,684,705,BMIII,0
640,8,construction_activity_BMIII,684,705,BMIII,0
641,17,construction_activity_BMIII,684,705,BMIII,0
642,19,construction_activity_BMIII,684,705,BMIII,0
643,20,construction_activity_BMIII,684,705,BMIII,0
644,27,construction_activity_BMIII,684,705,BMIII,0
645,12,construction_activity_BMIII,684,705,BMIII,0
646,18,construction_activity_BMIII,684,705,BMIII,0
647,18,construction_activity_BMIII,684,705,BMIII,0
648,71,construction_activity_BMIII,684,705,BMIII,0
649,32,construction_activity_BMIII,684,705,BMIII,0
650,19,construction_activity_BMIII,684,705,BMIII,0
651,13,construction_activity_BMIII,684,705,BMIII,0
652,31,construction_activity_BMIII,684,705,BMIII,0
653,22,construction_activity_BMIII,684,705,BMIII,0
654,14,construction_activity_BMIII,684,705,BMIII,0
655,25,construction_activity_BMIII,684,705,BMIII,0
656,27,construction_activity_BMIII,684,705,BMIII,0
657,27,construction_activity_BMIII,684,705,BMIII,0
658,19,construction_activity_BMIII,684,705,BMIII,0
659,14,construction_activity_BMIII,684,705,BMIII,0
660,13,construction_activity_BMIII,684,705,BMIII,0
661,9,construction_activity_BMIII,684,705,BMIII,0
662,10,construction_activity_BMIII,684,705,BMIII,0
663,22,construction_activity_BMIII,684,705,BMIII,0
664,17,construction_activity_BMIII,684,705,BMIII,0
665,44,construction_activity_BMIII,684,705,BMIII,0
666,19,construction_activity_BMIII,684,705,BMIII,0
667,48,construction_activity_BMIII,684,705,BMIII,0
668,24,construction_activity_BMIII,684,705,BMIII,0
669,34,construction_activity_BMIII,684,705,BMIII,0
670,20,construction_activity_BMIII,684,705,BMIII,0
671,16,construction_activity_BMIII,684,705,BMIII,0
672,25,construction_activity_BMIII,684,705,BMIII,0
673,22,construction_activity_BMIII,684,705,BMIII,0
674,32,construction_activity_BMIII,684,705,BMIII,0
675,19,construction_activity_BMIII,684,705,BMIII,0
676,41,construction_activity_BMIII,684,705,BMIII,0
677,25,construction_activity_BMIII,684,705,BMIII,0
678,21,construction_activity_BMIII,684,705,BMIII,0
679,20,construction_activity_BMIII,684,705,BMIII,0
680,25,construction_activity_BMIII,684,705,BMIII,0
681,13,construction_activity_BMIII,684,705,BMIII,0
682,29,construction_activity_BMIII,684,705,BMIII,0
683,40,construction_activity_BMIII,684,705,BMIII,0
684,41,construction_activity_BMIII,684,705,BMIII,0
685,43,construction_activity_BMIII,684,705,BMIII,0
686,21,construction_activity_BMIII,684,705,BMIII,0
687,17,construction_activity_BMIII,684,705,BMIII,0
688,18,construction_activity_BMIII,684,705,BMIII,0
689,30,construction_activity_BMIII,684,705,BMIII,0
690,27,construction_activity_BMIII,684,705,BMIII,0
691,22,construction_activity_BMIII,684,705,BMIII,0
692,18,construction_activity_BMIII,684,705,BMIII,0
693,17,construction_activity_BMIII,684,705,BMIII,0
694,23,construction_activity_BMIII,684,705,BMIII,0
695,17,construction_activity_BMIII,684,705,BMIII,0
696,9,construction_activity_BMIII,684,705,BMIII,0
697,5,construction_activity_BMIII,684,705,BMIII,0
698,14,construction_activity_BMIII,684,705,BMIII,0
699,25,construction_activity_BMIII,684,705,BMIII,0
700,34,construction_activity_BMIII,684,705,BMIII,0
701,12,construction_activity_BMIII,684,705,BMIII,0
702,22,construction_activity_BMIII,684,705,BMIII,0
703,11,construction_activity_BMIII,684,705,BMIII,0
704,13,construction_activity_BMIII,684,705,BMIII,0
705,3,construction_activity_BMIII,684,705,BMIII,0
705,3,construction_activity_PI,871,873,PI,1
706,1,construction_activity_PI,871,873,PI,1
707,7,construction_activity_PI,871,873,PI,1
708,4,construction_activity_PI,871,873,PI,1
709,6,construction_activity_PI,871,873,PI,1
711,4,construction_activity_PI,871,873,PI,1
712,4,construction_activity_PI,871,873,PI,1
713,4,construction_activity_PI,871,873,PI,1
714,7,construction_activity_PI,871,873,PI,1
715,15,construction_activity_PI,871,873,PI,1
716,3,construction_activity_PI,871,873,PI,1
718,3,construction_activity_PI,871,873,PI,1
719,8,construction_activity_PI,871,873,PI,1
720,7,construction_activity_PI,871,873,PI,1
721,3,construction_activity_PI,871,873,PI,1
722,8,construction_activity_PI,871,873,PI,1
723,2,construction_activity_PI,871,873,PI,1
724,2,construction_activity_PI,871,873,PI,1
725,14,construction_activity_PI,871,873,PI,1
726,7,construction_activity_PI,871,873,PI,1
727,7,construction_activity_PI,871,873,PI,1
728,14,construction_activity_PI,871,873,PI,1
729,38,construction_activity_PI,871,873,PI,1
730,13,construction_activity_PI,871,873,PI,1
731,6,construction_activity_PI,871,873,PI,1
732,8,construction_activity_PI,871,873,PI,1
733,9,construction_activity_PI,871,873,PI,1
734,9,construction_activity_PI,871,873,PI,1
735,5,construction_activity_PI,871,873,PI,1
736,12,construction_activity_PI,871,873,PI,1
737,8,construction_activity_PI,871,873,PI,1
738,4,construction_activity_PI,871,873,PI,1
739,7,construction_activity_PI,871,873,PI,1
740,9,construction_activity_PI,871,873,PI,1
741,3,construction_activity_PI,871,873,PI,1
742,2,construction_activity_PI,871,873,PI,1
743,19,construction_activity_PI,871,873,PI,1
744,5,construction_activity_PI,871,873,PI,1
745,12,construction_activity_PI,871,873,PI,1
746,7,construction_activity_PI,871,873,PI,1
747,16,construction_activity_PI,871,873,PI,1
748,10,construction_activity_PI,871,873,PI,1
749,15,construction_activity_PI,871,873,PI,1
750,10,construction_activity_PI,871,873,PI,1
751,7,construction_activity_PI,871,873,PI,1
752,10,construction_activity_PI,871,873,PI,1
753,14,construction_activity_PI,871,873,PI,1
754,13,construction_activity_PI,871,873,PI,1
755,12,construction_activity_PI,871,873,PI,1
756,10,construction_activity_PI,871,873,PI,1
757,8,construction_activity_PI,871,873,PI,1
758,15,construction_activity_PI,871,873,PI,1
759,44,construction_activity_PI,871,873,PI,1
760,27,construction_activity_PI,871,873,PI,1
761,19,construction_activity_PI,871,873,PI,1
762,14,construction_activity_PI,871,873,PI,1
763,36,construction_activity_PI,871,873,PI,1
764,11,construction_activity_PI,871,873,PI,1
765,25,construction_activity_PI,871,873,PI,1
766,28,construction_activity_PI,871,873,PI,1
767,21,construction_activity_PI,871,873,PI,1
768,23,construction_activity_PI,871,873,PI,1
769,23,construction_activity_PI,871,873,PI,1
770,25,construction_activity_PI,871,873,PI,1
771,15,construction_activity_PI,871,873,PI,1
772,19,construction_activity_PI,871,873,PI,1
773,19,construction_activity_PI,871,873,PI,1
774,18,construction_activity_PI,871,873,PI,1
775,40,construction_activity_PI,871,873,PI,1
