fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.8447888888888889,SDML
0.0,0.0016666666666666668,0.99998105,0.8447888888888889,SDML
0.0,0.0033333333333333335,0.99998033,0.8447888888888889,SDML
0.0,0.006666666666666667,0.9999796,0.8447888888888889,SDML
0.0,0.011666666666666667,0.99997926,0.8447888888888889,SDML
0.0,0.016666666666666666,0.99997807,0.8447888888888889,SDML
0.0,0.021666666666666667,0.99997735,0.8447888888888889,SDML
0.0,0.023333333333333334,0.999977,0.8447888888888889,SDML
0.0,0.02666666666666667,0.99997663,0.8447888888888889,SDML
0.0,0.05,0.9999647,0.8447888888888889,SDML
0.0,0.05333333333333334,0.9999646,0.8447888888888889,SDML
0.0,0.07833333333333334,0.9999448,0.8447888888888889,SDML
0.0,0.08166666666666667,0.99994373,0.8447888888888889,SDML
0.0,0.1,0.99993765,0.8447888888888889,SDML
0.0,0.10333333333333333,0.9999372,0.8447888888888889,SDML
0.0,0.115,0.99993527,0.8447888888888889,SDML
0.0,0.11833333333333333,0.99993455,0.8447888888888889,SDML
0.0,0.135,0.9999306,0.8447888888888889,SDML
0.0,0.14,0.9999305,0.8447888888888889,SDML
0.0,0.20166666666666666,0.99966586,0.8447888888888889,SDML
0.0,0.20666666666666667,0.9995635,0.8447888888888889,SDML
0.0,0.26166666666666666,0.9988136,0.8447888888888889,SDML
0.0,0.26666666666666666,0.99878174,0.8447888888888889,SDML
0.0,0.2683333333333333,0.998781,0.8447888888888889,SDML
0.0,0.2733333333333333,0.9987784,0.8447888888888889,SDML
0.0,0.3016666666666667,0.99864167,0.8447888888888889,SDML
0.0,0.30666666666666664,0.998638,0.8447888888888889,SDML
0.0,0.32,0.9983537,0.8447888888888889,SDML
0.0,0.335,0.9982539,0.8447888888888889,SDML
0.0,0.3383333333333333,0.998154,0.8447888888888889,SDML
0.0,0.34833333333333333,0.99809366,0.8447888888888889,SDML
0.01,0.34833333333333333,0.99782914,0.8447888888888889,SDML
0.01,0.35833333333333334,0.9977404,0.8447888888888889,SDML
0.01,0.36,0.99765366,0.8447888888888889,SDML
0.015,0.36,0.99756455,0.8447888888888889,SDML
0.015,0.365,0.99755424,0.8447888888888889,SDML
0.016666666666666666,0.365,0.99750024,0.8447888888888889,SDML
0.021666666666666667,0.365,0.9973042,0.8447888888888889,SDML
0.023333333333333334,0.365,0.99728763,0.8447888888888889,SDML
0.023333333333333334,0.37,0.9970228,0.8447888888888889,SDML
0.028333333333333332,0.37,0.996819,0.8447888888888889,SDML
0.03,0.37,0.99679714,0.8447888888888889,SDML
0.03,0.375,0.9967784,0.8447888888888889,SDML
0.03,0.37666666666666665,0.9967102,0.8447888888888889,SDML
0.035,0.37666666666666665,0.99660045,0.8447888888888889,SDML
0.035,0.385,0.99646205,0.8447888888888889,SDML
0.04,0.385,0.9964489,0.8447888888888889,SDML
0.04,0.3883333333333333,0.9963665,0.8447888888888889,SDML
0.04,0.3933333333333333,0.99632806,0.8447888888888889,SDML
0.045,0.3933333333333333,0.9962775,0.8447888888888889,SDML
0.045,0.395,0.99626714,0.8447888888888889,SDML
0.045,0.4,0.99626106,0.8447888888888889,SDML
0.05,0.4,0.99626005,0.8447888888888889,SDML
0.05,0.405,0.9962275,0.8447888888888889,SDML
0.05,0.41,0.99619627,0.8447888888888889,SDML
0.05,0.4166666666666667,0.9960497,0.8447888888888889,SDML
0.05,0.4216666666666667,0.9960068,0.8447888888888889,SDML
0.05,0.42833333333333334,0.9958906,0.8447888888888889,SDML
0.065,0.42833333333333334,0.9957178,0.8447888888888889,SDML
0.065,0.43166666666666664,0.9956791,0.8447888888888889,SDML
0.065,0.43666666666666665,0.995589,0.8447888888888889,SDML
0.065,0.43833333333333335,0.9955694,0.8447888888888889,SDML
0.07,0.43833333333333335,0.99548066,0.8447888888888889,SDML
0.07,0.44333333333333336,0.99534434,0.8447888888888889,SDML
0.075,0.44333333333333336,0.9953245,0.8447888888888889,SDML
0.07666666666666666,0.44333333333333336,0.9953243,0.8447888888888889,SDML
0.07666666666666666,0.4483333333333333,0.9953151,0.8447888888888889,SDML
0.07666666666666666,0.45,0.99529284,0.8447888888888889,SDML
0.08666666666666667,0.45,0.99504364,0.8447888888888889,SDML
0.08666666666666667,0.46,0.9947672,0.8447888888888889,SDML
0.08666666666666667,0.46166666666666667,0.994669,0.8447888888888889,SDML
0.08666666666666667,0.4666666666666667,0.99434,0.8447888888888889,SDML
0.09666666666666666,0.4666666666666667,0.9943124,0.8447888888888889,SDML
0.09666666666666666,0.4683333333333333,0.99412775,0.8447888888888889,SDML
0.09666666666666666,0.48833333333333334,0.99371815,0.8447888888888889,SDML
0.09666666666666666,0.49,0.99370897,0.8447888888888889,SDML
0.09666666666666666,0.495,0.9936939,0.8447888888888889,SDML
0.10166666666666667,0.495,0.9936299,0.8447888888888889,SDML
0.10333333333333333,0.495,0.993551,0.8447888888888889,SDML
0.10333333333333333,0.505,0.9934772,0.8447888888888889,SDML
0.10833333333333334,0.505,0.99341124,0.8447888888888889,SDML
0.10833333333333334,0.515,0.9930988,0.8447888888888889,SDML
0.10833333333333334,0.5183333333333333,0.9927626,0.8447888888888889,SDML
0.11333333333333333,0.5183333333333333,0.9926924,0.8447888888888889,SDML
0.11333333333333333,0.52,0.9924482,0.8447888888888889,SDML
0.11333333333333333,0.525,0.992272,0.8447888888888889,SDML
0.11333333333333333,0.5266666666666666,0.9922718,0.8447888888888889,SDML
0.115,0.5266666666666666,0.9921961,0.8447888888888889,SDML
0.115,0.5366666666666666,0.99175537,0.8447888888888889,SDML
0.12,0.5366666666666666,0.9917333,0.8447888888888889,SDML
0.12166666666666667,0.5366666666666666,0.99159604,0.8447888888888889,SDML
0.12166666666666667,0.5466666666666666,0.9905027,0.8447888888888889,SDML
0.12166666666666667,0.5483333333333333,0.99048764,0.8447888888888889,SDML
0.12166666666666667,0.5533333333333333,0.9904232,0.8447888888888889,SDML
0.13166666666666665,0.5533333333333333,0.9902126,0.8447888888888889,SDML
0.13166666666666665,0.555,0.99003804,0.8447888888888889,SDML
0.13166666666666665,0.56,0.99003124,0.8447888888888889,SDML
0.13666666666666666,0.56,0.98932487,0.8447888888888889,SDML
0.13666666666666666,0.565,0.989291,0.8447888888888889,SDML
0.13666666666666666,0.5666666666666667,0.9885422,0.8447888888888889,SDML
0.13666666666666666,0.5916666666666667,0.9877108,0.8447888888888889,SDML
0.13666666666666666,0.5933333333333334,0.9877101,0.8447888888888889,SDML
0.13666666666666666,0.5983333333333334,0.98727524,0.8447888888888889,SDML
0.13666666666666666,0.605,0.9871766,0.8447888888888889,SDML
0.14166666666666666,0.605,0.98714995,0.8447888888888889,SDML
0.145,0.605,0.98704416,0.8447888888888889,SDML
0.15,0.605,0.98701376,0.8447888888888889,SDML
0.15,0.6066666666666667,0.98693776,0.8447888888888889,SDML
0.155,0.6066666666666667,0.98683757,0.8447888888888889,SDML
0.155,0.6116666666666667,0.98653644,0.8447888888888889,SDML
0.155,0.6183333333333333,0.986324,0.8447888888888889,SDML
0.155,0.6233333333333333,0.9862468,0.8447888888888889,SDML
0.16,0.6233333333333333,0.9860799,0.8447888888888889,SDML
0.16,0.6383333333333333,0.98562974,0.8447888888888889,SDML
0.165,0.6383333333333333,0.98551023,0.8447888888888889,SDML
0.165,0.6433333333333333,0.9854798,0.8447888888888889,SDML
0.17,0.6433333333333333,0.9852636,0.8447888888888889,SDML
0.17,0.6483333333333333,0.9852502,0.8447888888888889,SDML
0.17,0.65,0.9848232,0.8447888888888889,SDML
0.17,0.66,0.98419017,0.8447888888888889,SDML
0.17166666666666666,0.66,0.98301345,0.8447888888888889,SDML
0.17166666666666666,0.6666666666666666,0.9828887,0.8447888888888889,SDML
0.17166666666666666,0.6716666666666666,0.9825684,0.8447888888888889,SDML
0.18666666666666668,0.6716666666666666,0.982186,0.8447888888888889,SDML
0.18666666666666668,0.6766666666666666,0.98142,0.8447888888888889,SDML
0.18666666666666668,0.6783333333333333,0.9814182,0.8447888888888889,SDML
0.19166666666666668,0.6783333333333333,0.981048,0.8447888888888889,SDML
0.19333333333333333,0.6783333333333333,0.9807984,0.8447888888888889,SDML
0.19833333333333333,0.6783333333333333,0.98014706,0.8447888888888889,SDML
0.19833333333333333,0.6816666666666666,0.9798278,0.8447888888888889,SDML
0.2,0.6816666666666666,0.9788833,0.8447888888888889,SDML
0.2,0.6866666666666666,0.9786227,0.8447888888888889,SDML
0.205,0.6866666666666666,0.97812676,0.8447888888888889,SDML
