Age,state,tsid,type
12,32,3,forced
13,58,3,forced
14,60,3,forced
15,51,3,forced
16,102,3,forced
17,93,3,forced
18,43,3,forced
19,54,3,forced
20,45,3,forced
21,48,3,forced
22,61,3,forced
23,85,3,forced
24,139,3,forced
25,63,3,forced
26,71,3,forced
27,55,3,forced
28,53,3,forced
0,59,4,forced
1,70,4,forced
2,120,4,forced
3,58,4,forced
4,83,4,forced
5,90,4,forced
6,158,4,forced
7,40,4,forced
8,73,4,forced
9,102,4,forced
10,103,4,forced
11,107,4,forced
12,71,4,forced
13,112,4,forced
14,108,4,forced
15,151,4,forced
16,147,4,forced
17,120,4,forced
18,127,4,forced
19,126,4,forced
20,135,4,forced
21,102,4,forced
22,126,4,forced
23,150,4,forced
24,271,4,forced
25,80,4,forced
26,92,4,forced
27,72,4,forced
28,103,4,forced
29,121,4,forced
30,105,4,forced
31,108,4,forced
32,104,4,forced
0,2,0,neutral
1,3,0,neutral
2,6,0,neutral
3,5,0,neutral
4,5,0,neutral
5,5,0,neutral
6,6,0,neutral
7,2,0,neutral
8,3,0,neutral
9,3,0,neutral
10,5,0,neutral
11,3,0,neutral
12,2,0,neutral
13,3,0,neutral
14,4,0,neutral
15,4,0,neutral
16,1,0,neutral
17,4,0,neutral
18,4,0,neutral
19,5,0,neutral
20,4,0,neutral
21,8,0,neutral
22,4,0,neutral
23,3,0,neutral
24,3,0,neutral
25,7,0,neutral
26,2,0,neutral
27,6,0,neutral
28,5,0,neutral
29,3,0,neutral
30,6,0,neutral
31,8,0,neutral
32,11,0,neutral
33,2,0,neutral
34,8,0,neutral
35,3,0,neutral
36,10,0,neutral
37,18,0,neutral
38,4,0,neutral
39,7,0,neutral
41,9,0,neutral
42,7,0,neutral
43,10,0,neutral
44,8,0,neutral
45,2,0,neutral
46,9,0,neutral
47,11,0,neutral
48,7,0,neutral
49,9,0,neutral
50,8,0,neutral
51,11,0,neutral
52,10,0,neutral
53,4,0,neutral
54,4,0,neutral
55,10,0,neutral
56,11,0,neutral
57,7,0,neutral
58,5,0,neutral
59,10,0,neutral
60,9,0,neutral
61,6,0,neutral
62,16,0,neutral
63,6,0,neutral
64,12,0,neutral
65,7,0,neutral
66,13,0,neutral
67,15,0,neutral
68,6,0,neutral
69,3,0,neutral
70,17,0,neutral
71,18,0,neutral
72,9,0,neutral
73,11,0,neutral
74,21,0,neutral
75,16,0,neutral
76,8,0,neutral
77,12,0,neutral
78,2,0,neutral
79,10,0,neutral
80,8,0,neutral
81,19,0,neutral
82,20,0,neutral
83,10,0,neutral
84,14,0,neutral
85,16,0,neutral
86,11,0,neutral
87,22,0,neutral
88,3,0,neutral
89,10,0,neutral
90,10,0,neutral
91,5,0,neutral
92,14,0,neutral
0,3,1,neutral
1,1,1,neutral
2,7,1,neutral
3,4,1,neutral
4,6,1,neutral
6,4,1,neutral
7,4,1,neutral
8,4,1,neutral
9,7,1,neutral
10,15,1,neutral
11,3,1,neutral
13,3,1,neutral
14,8,1,neutral
15,7,1,neutral
16,3,1,neutral
17,8,1,neutral
18,2,1,neutral
19,2,1,neutral
20,14,1,neutral
21,7,1,neutral
22,7,1,neutral
23,14,1,neutral
24,38,1,neutral
25,13,1,neutral
26,6,1,neutral
27,8,1,neutral
28,9,1,neutral
29,9,1,neutral
30,5,1,neutral
31,12,1,neutral
32,8,1,neutral
33,4,1,neutral
34,7,1,neutral
35,9,1,neutral
36,3,1,neutral
37,2,1,neutral
38,19,1,neutral
39,5,1,neutral
40,12,1,neutral
41,7,1,neutral
42,16,1,neutral
43,10,1,neutral
44,15,1,neutral
45,10,1,neutral
46,7,1,neutral
47,10,1,neutral
48,14,1,neutral
49,13,1,neutral
50,12,1,neutral
51,10,1,neutral
52,8,1,neutral
53,15,1,neutral
54,44,1,neutral
55,27,1,neutral
56,19,1,neutral
57,14,1,neutral
58,36,1,neutral
59,11,1,neutral
60,25,1,neutral
61,28,1,neutral
62,21,1,neutral
63,23,1,neutral
64,23,1,neutral
65,25,1,neutral
66,15,1,neutral
67,19,1,neutral
68,19,1,neutral
69,18,1,neutral
70,40,1,neutral
71,31,1,neutral
72,11,1,neutral
73,21,1,neutral
74,8,1,neutral
75,63,1,neutral
76,23,1,neutral
77,11,1,neutral
78,21,1,neutral
79,20,1,neutral
80,19,1,neutral
81,43,1,neutral
82,23,1,neutral
83,25,1,neutral
0,41,2,neutral
1,29,2,neutral
2,37,2,neutral
3,32,2,neutral
4,28,2,neutral
5,12,2,neutral
6,9,2,neutral
7,9,2,neutral
8,33,2,neutral
9,18,2,neutral
10,13,2,neutral
11,9,2,neutral
12,20,2,neutral
13,20,2,neutral
14,13,2,neutral
15,11,2,neutral
16,18,2,neutral
17,25,2,neutral
18,29,2,neutral
19,20,2,neutral
20,31,2,neutral
21,9,2,neutral
22,11,2,neutral
23,9,2,neutral
24,27,2,neutral
25,35,2,neutral
26,30,2,neutral
27,7,2,neutral
28,5,2,neutral
29,8,2,neutral
30,5,2,neutral
31,6,2,neutral
32,17,2,neutral
33,6,2,neutral
34,4,2,neutral
35,7,2,neutral
36,12,2,neutral
37,11,2,neutral
38,15,2,neutral
39,5,2,neutral
40,7,2,neutral
41,10,2,neutral
42,12,2,neutral
43,13,2,neutral
44,16,2,neutral
45,15,2,neutral
46,52,2,neutral
47,8,2,neutral
48,8,2,neutral
49,2,2,neutral
50,8,2,neutral
51,5,2,neutral
52,18,2,neutral
53,14,2,neutral
54,12,2,neutral
55,32,2,neutral
56,8,2,neutral
57,7,2,neutral
58,11,2,neutral
59,24,2,neutral
60,21,2,neutral
61,20,2,neutral
62,19,2,neutral
63,16,2,neutral
64,9,2,neutral
65,17,2,neutral
66,7,2,neutral
67,12,2,neutral
68,17,2,neutral
69,23,2,neutral
70,19,2,neutral
71,11,2,neutral
72,18,2,neutral
73,24,2,neutral
74,40,2,neutral
75,22,2,neutral
76,52,2,neutral
77,20,2,neutral
78,8,2,neutral
79,17,2,neutral
80,10,2,neutral
81,6,2,neutral
82,12,2,neutral
83,19,2,neutral
84,14,2,neutral
85,18,2,neutral
86,25,2,neutral
87,29,2,neutral
88,12,2,neutral
89,16,2,neutral
90,30,2,neutral
91,30,2,neutral
92,11,2,neutral
93,31,2,neutral
94,28,2,neutral
95,17,2,neutral
96,19,2,neutral
97,19,2,neutral
98,15,2,neutral
99,17,2,neutral
100,27,2,neutral
101,28,2,neutral
102,16,2,neutral
103,14,2,neutral
104,37,2,neutral
105,20,2,neutral
106,19,2,neutral
107,9,2,neutral
108,7,2,neutral
109,13,2,neutral
110,21,2,neutral
111,17,2,neutral
112,23,2,neutral
113,35,2,neutral
114,35,2,neutral
115,46,2,neutral
116,45,2,neutral
117,23,2,neutral
118,16,2,neutral
119,25,2,neutral
120,19,2,neutral
121,15,2,neutral
122,15,2,neutral
0,20,3,neutral
1,12,3,neutral
2,18,3,neutral
3,30,3,neutral
4,16,3,neutral
5,24,3,neutral
6,30,3,neutral
7,11,3,neutral
8,26,3,neutral
9,15,3,neutral
10,39,3,neutral
11,27,3,neutral
12,19,3,neutral
13,28,3,neutral
14,33,3,neutral
15,33,3,neutral
16,31,3,neutral
17,48,3,neutral
18,20,3,neutral
19,16,3,neutral
20,20,3,neutral
21,34,3,neutral
22,18,3,neutral
23,25,3,neutral
24,47,3,neutral
25,18,3,neutral
26,49,3,neutral
27,48,3,neutral
28,46,3,neutral
0,17,4,neutral
1,34,4,neutral
2,39,4,neutral
3,32,4,neutral
4,38,4,neutral
5,40,4,neutral
6,38,4,neutral
7,38,4,neutral
8,33,4,neutral
9,58,4,neutral
10,28,4,neutral
11,50,4,neutral
12,64,4,neutral
13,71,4,neutral
14,75,4,neutral
15,71,4,neutral
16,141,4,neutral
17,61,4,neutral
18,85,4,neutral
19,56,4,neutral
20,68,4,neutral
21,103,4,neutral
22,136,4,neutral
23,102,4,neutral
24,95,4,neutral
25,159,4,neutral
26,99,4,neutral
27,95,4,neutral
28,82,4,neutral
29,74,4,neutral
30,132,4,neutral
31,123,4,neutral
32,97,4,neutral
