Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
105920.70354906055,-457.80155819793646,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105820.49895615867,-458.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105720.29436325679,-458.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105620.08977035491,-461.2485212247736,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105519.88517745303,-462.56570558031945,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105419.68058455116,-460.82062166550696,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105319.47599164926,-460.0096562674586,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105219.27139874738,-460.40142903349124,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105119.0668058455,-462.03460977493074,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105018.86221294363,-463.5940458146253,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104918.65762004175,-462.48804378491207,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104818.45302713987,-460.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104718.24843423799,-460.43627863212686,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104618.04384133611,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104517.83924843423,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104417.63465553235,-461.36351554000413,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104317.43006263048,-461.29680378723276,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104217.2254697286,-459.8130347849098,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104117.02087682672,-459.9337146049575,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104016.81628392484,-460.4655979719654,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103916.61169102296,-461.07437949431693,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103816.40709812108,-462.1024704244955,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103716.2025052192,-461.9333507306889,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103615.99791231733,-461.8375086986778,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103515.79331941545,-462.3067037810253,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103415.58872651357,-459.828271928019,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103315.38413361169,-456.9636927422326,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103215.17954070981,-457.9952106103402,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103114.97494780793,-453.3955049582463,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103014.77035490605,-453.69793801188376,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102914.56576200417,-455.2620199911431,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102814.3611691023,-449.63281576200416,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102714.15657620042,-454.1081580215192,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102613.95198329854,-454.01281194796854,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102513.74739039666,-451.3506915448852,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102413.54279749478,-448.4985488894213,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102313.3382045929,-450.04938379688866,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102213.13361169102,-452.10957724425884,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102112.92901878915,-450.25336049565635,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
102012.72442588727,-448.1150894965604,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101912.51983298539,-449.42555054212403,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101812.31524008351,-450.7185130311805,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101712.11064718163,-449.8010707791771,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101611.90605427975,-452.885696111691,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101511.70146137787,-452.1798962682673,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101411.496868476,-452.14534185803757,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101311.29227557412,-453.65031315240077,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101211.08768267224,-455.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101110.88308977036,-455.7057854115265,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
101010.67849686848,-456.76455301779197,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100910.4739039666,-457.8114666749758,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100810.26931106472,-456.85838033215964,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
100710.06471816284,-457.7259947193909,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
