Age,state,smoothing,residuals,variance,ac1,tsid_new,SD_probability_mean,SD_probability_error,_merge
-20.48787,2.511681528211509,1.9090729710456809,0.6026085571658284,,,1,,,left_only
-20.47156,2.809645862117582,1.908992806223509,0.9006530558940729,,,1,,,left_only
-20.45528,2.864060714878835,1.9088369477617584,0.9552237671170768,,,1,,,left_only
-20.439,2.0383621934725897,1.908603895567584,0.1297582979050056,,,1,,,left_only
-20.42272,1.701814143621361,1.9082906812406304,-0.2064765376192694,,,1,,,left_only
-20.40644,2.70040247461336,1.907901341770327,0.7925011328430331,,,1,,,left_only
-20.39012,1.8808474797221169,1.90743601980108,-0.0265885400789627,,,1,,,left_only
-20.37376,2.6394178633225707,1.906896991177328,0.732520872145243,,,1,,,left_only
-20.3574,2.7821488199603523,1.9062769725917292,0.8758718473686229,,,1,,,left_only
-20.34104,1.9490519995808249,1.9055841881925837,0.0434678113882414,,,1,,,left_only
-20.32468,2.746714831475668,1.9048187134396584,0.8418961180360096,,,1,,,left_only
-20.30832,2.4578158225514013,1.9039750967307167,0.5538407258206841,,,1,,,left_only
-20.29196,2.059977450882347,1.9030576753135424,0.1569197755688047,,,1,,,left_only
-20.2756,1.9597750252348345,1.9020657322324503,0.0577092930023839,,,1,,,left_only
-20.25924,1.2902457784293284,1.9009993798742784,-0.6107536014449502,,,1,,,left_only
-20.24288,2.048541349625717,1.8998579311879007,0.1486834184378158,,,1,,,left_only
-20.22646,2.105120688140828,1.898644175784124,0.2064765123567045,,,1,,,left_only
-20.20998,2.7108957555659936,1.897360042331107,0.8135357132348866,,,1,,,left_only
-20.1935,1.7302554772050451,1.8960000981288787,-0.1657446209238335,,,1,,,left_only
-20.17702,1.348570838439786,1.89456807874787,-0.5459972403080839,,,1,,,left_only
-20.16054,1.219323062619894,1.893064967658593,-0.6737419050386986,,,1,,,left_only
-20.14417,1.8326840044760224,1.891492065817821,-0.0588080613417985,,,1,,,left_only
-20.12791,1.6003297642927696,1.8898507905315811,-0.2895210262388117,,,1,,,left_only
-20.11165,2.601566308004152,1.888138212854812,0.7134280951493401,,,1,,,left_only
-20.09539,2.651216336945235,1.886358244486357,0.7648580924588781,,,1,,,left_only
-20.07913,2.393404246354809,1.8845108225833287,0.5088934237714797,,,1,,,left_only
-20.06276,1.5069149972528255,1.882599699686726,-0.3756847024339005,,,1,,,left_only
-20.04628,2.309280214311896,1.8806228508062568,0.4286573635056394,,,1,,,left_only
-20.0298,1.07777726786398,1.8785794652953365,-0.8008021974313562,,,1,,,left_only
-20.01332,3.0935065678455334,1.87647445865629,1.217032109189243,,,1,,,left_only
-19.99684,2.6690924729573315,1.8743062782496007,0.7947861947077304,,,1,,,left_only
-19.98039,1.480749095502886,1.8720764591466053,-0.3913273636437195,,,1,,,left_only
-19.96397,3.32003734776332,1.869782922430112,1.450254425333208,,,1,,,left_only
-19.94755,2.253579091244585,1.8674329726454304,0.3861461185991546,,,1,,,left_only
-19.93113,1.648341777470668,1.86501983561062,-0.2166780581399519,,,1,,,left_only
-19.91471,2.507328845931743,1.862557551624649,0.644771294307094,,,1,,,left_only
-19.89846,2.03577680684408,1.8600372217890373,0.1757395850550422,,,1,,,left_only
-19.88238,2.3043862605420853,1.8574584456133767,0.4469278149287081,,,1,,,left_only
-19.8663,2.443834931089002,1.8548272806820776,0.5890076504069244,,,1,,,left_only
-19.85022,2.2335792587348764,1.8521466428520388,0.3814326158828376,,,1,,,left_only
-19.83414,1.812482543606752,1.8494134101159476,-0.0369308665091954,,,1,,,left_only
-19.81803,2.714771265698203,1.8466308856739404,0.8681403800242624,,,1,,,left_only
-19.80189,1.7412229941539972,1.84380036059432,-0.1025773664403226,,,1,,,left_only
-19.78575,1.3110154449513909,1.8409209714714772,-0.5299055265200865,,,1,,,left_only
-19.76961,2.429114188910189,1.837995844831932,0.5911183440782573,,,1,,,left_only
-19.75347,2.1719179738384424,1.8350252256738344,0.336892748164608,,,1,,,left_only
-19.7373,1.245431895354799,1.8320095513707968,-0.5865776560159977,,,1,,,left_only
-19.7211,1.2517355334047318,1.8289557977611,-0.5772202643563684,,,1,,,left_only
-19.7049,1.5275352064885794,1.825859265537233,-0.2983240590486535,,,1,,,left_only
-19.6887,1.0331510898968277,1.8227251945140408,-0.7895741046172129,,,1,,,left_only
-19.6725,2.51741591724071,1.8195505085079595,0.6978654087327505,,,1,,,left_only
-19.65627,1.3303181855206214,1.816337164783752,-0.4860189792631302,,,1,,,left_only
-19.64001,1.724182526225909,1.8130870435202755,-0.0889045172943665,,,1,,,left_only
-19.62375,2.3068253946991857,1.809803240355729,0.4970221543434567,,,1,,,left_only
-19.60749,1.4617231249400355,1.8064878410329697,-0.3447647160929341,,,1,,,left_only
-19.59123,2.8011582864931026,1.8031407629449108,0.9980175235481918,,,1,,,left_only
-19.57506,1.4765714802570873,1.7997640270435649,-0.3231925467864776,,,1,,,left_only
-19.55898,2.257133217608603,1.7963587946313428,0.4607744229772603,,,1,,,left_only
-19.5429,1.786342037304551,1.7929286944556826,-0.0065866571511314,,,1,,,left_only
-19.52682,1.7444186666669048,1.789471530238299,-0.0450528635713942,,,1,,,left_only
-19.51074,2.374240589776846,1.7859894493559525,0.5882511404208937,,,1,,,left_only
-19.49459,1.437525417876663,1.782484803686081,-0.344959385809418,,,1,,,left_only
-19.47837,1.827895695022556,1.7789604700308186,0.0489352249917374,,,1,,,left_only
-19.46215,1.6663436970047167,1.7754145015522071,-0.1090708045474904,,,1,,,left_only
