Age,Proxy,X_axis_label,Y_axis_label,Record,Transition_start,Transition_end,tsid_new
-8.40888,7.112100553976442,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.4142,11.964449412516789,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.41952,11.51843838244624,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.42484,10.834861257129676,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.43015,12.752714086090323,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.43545,10.62426760665058,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.44075,7.85073947571133,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.44605,12.523082062690722,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.45135,9.85656889359002,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.45664,11.90441376322185,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.46192,9.736067525946504,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.4672,11.830398324231869,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.47248,14.416317434401051,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.47776,10.98009143979797,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.483,12.77767188580533,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.4882,9.892541414939537,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.4934,10.75942162064094,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.4986,7.907472052257052,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.5038,9.140482376122232,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.50903,9.591848254724102,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.51429,7.368422509733375,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.51955,9.337696684861864,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.52481,7.521143794071414,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.53007,10.706915608168178,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.53531,7.14054042035637,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.54053,9.349591043521036,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.54575,16.19517885681727,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.55097,14.580503033446876,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.55619,13.535096150390446,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.56144,13.382168920062318,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.56672,13.395426659514378,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.572,14.417408573125018,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.57728,11.626823292446106,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.58256,14.853335057569684,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.58782,16.45113254890791,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.59306,13.580255595068824,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.5983,17.742950752462193,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.60354,15.139376521297104,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.60878,15.403855685999895,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.61402,17.493279659072424,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.61926,21.99168448966793,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.6245,20.4623709753893,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.62974,17.73861459985642,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.63498,10.19947495957356,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.64025,18.27794892730707,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.64555,19.198553162181128,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.65085,23.38214834736,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.65615,19.72570417621768,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.66145,15.068496882430647,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.6667,16.024392894983603,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.6719,16.9917364007801,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.6771,15.421670044084472,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.6823,13.53981869110409,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.6875,17.909285584445346,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.69273,15.716735435821985,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.69799,12.906472580983444,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.70325,13.95645209398018,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.70851,17.05936639454604,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.71377,18.595485270335544,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.719,17.224425508155726,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7242,20.46710681701237,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7294,16.274436146360944,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7346,15.483759065174503,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7398,15.238162496686732,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.74501,14.524407557760693,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.75023,13.906086316058325,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.75545,12.948365449654824,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.76067,9.931154295276002,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.76589,11.83156844571768,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7711,20.69020986984913,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7763,11.89064251205266,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7815,12.204703769226835,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7867,16.833081439750007,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.7919,13.561437688971314,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.79709,13.52262562420256,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.80227,13.921992633196526,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.80745,12.386638436733971,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.81263,16.60774378488172,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.81781,12.839779483395674,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.82302,12.049130973454886,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.82826,9.845744913126708,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.8335,13.79163417589828,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.83874,15.647343113780387,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.84398,14.677798697796444,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.84923,13.196420201563138,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.85449,11.914894110619786,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.85975,13.766152353439514,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.86501,9.716756637164508,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.87027,10.3569781700177,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.87554,17.993616660137313,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.88082,11.978732881509504,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.8861,15.20385131852785,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.89138,15.145192404814953,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.89666,13.99142338759776,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.90199,16.402641622500052,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.90737,18.844100655968585,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.91275,12.440912193694652,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.91813,11.899121437073594,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.92351,14.752681078702295,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
