Age,SD_probability_mean,SD_probability_error
-12.16499,0.4300254,0.02286266
-12.15745,0.44152433,0.022095816
-12.14991,0.43078834,0.022743285
-12.14237,0.44322005,0.021732256
-12.13486,0.43444958,0.022649132
-12.12738,0.44930285,0.021996934
-12.1199,0.4270791,0.022823686
-12.11242,0.42845345,0.02250771
-12.10494,0.40759262,0.023317274
-12.09743,0.41502205,0.022733433
-12.08989,0.40830058,0.023290966
-12.08235,0.4228819,0.022469478
-12.07481,0.41153938,0.023537261
-12.06727,0.4252678,0.022755025
-12.05992,0.4178787,0.023406722
-12.05276,0.43675104,0.022624817
-12.0456,0.4267761,0.02361525
-12.03844,0.4441486,0.022617774
-12.03128,0.4368946,0.023422128
-12.02426,0.44954795,0.022627031
-12.01738,0.4444004,0.023205834
-12.0105,0.46050936,0.022501064
-12.00362,0.44879794,0.02353318
-11.99674,0.46038085,0.022952147
-11.98987,0.4482266,0.023768326
-11.98301,0.45531616,0.022971861
-11.97615,0.44213897,0.023405125
-11.96929,0.4522071,0.022881234
-11.96243,0.44774333,0.023512814
-11.95555,0.465128,0.022811087
-11.94865,0.4549616,0.023736833
-11.94175,0.47194427,0.022890292
-11.93485,0.462499,0.023535369
-11.92795,0.46822625,0.022557566
-11.92102,0.45764193,0.023283836
-11.91406,0.46424007,0.022653764
-11.9071,0.45139512,0.023361463
-11.90014,0.46682534,0.022780508
-11.89318,0.45330256,0.023763385
-11.88616,0.4614059,0.023074746
-11.87908,0.45308414,0.023944601
-11.872,0.47250003,0.023232806
-11.86492,0.4682046,0.023708213
-11.85784,0.48757944,0.022913674
-11.85079,0.48716673,0.023597708
-11.84377,0.50888765,0.022824729
-11.83675,0.503798,0.02346549
-11.82973,0.5161961,0.022495
-11.82271,0.50727534,0.023253445
-11.8157,0.51836574,0.02271491
-11.8087,0.497895,0.023824869
-11.8017,0.507229,0.022960624
-11.7947,0.4908684,0.023678254
-11.7877,0.50332105,0.023027461
-11.78072,0.4909224,0.023713794
-11.77376,0.50606096,0.022949578
-11.7668,0.49663353,0.023798196
-11.75984,0.5245313,0.022958657
-11.75288,0.5352118,0.023253435
-11.74599,0.5595577,0.022436285
-11.73917,0.54106915,0.023678092
-11.73235,0.5577733,0.02271153
-11.72553,0.5426637,0.023450105
-11.71871,0.5634379,0.022471322
-11.71209,0.54999363,0.023571933
-11.70567,0.57749707,0.022154856
-11.69925,0.56516707,0.02287714
-11.69283,0.5952457,0.021748088
-11.68641,0.5862824,0.022644754
-11.68027,0.6143767,0.021375353
-11.67441,0.6041911,0.022391703
-11.66855,0.629753,0.020994635
-11.66269,0.6119648,0.022347376
-11.65683,0.62740445,0.021328181
-11.65092,0.6059969,0.02249581
-11.64496,0.62585443,0.021562284
-11.639,0.6110071,0.022949051
-11.63304,0.63544697,0.021678297
-11.62708,0.62860435,0.02198305
-11.62114,0.6537213,0.020672798
-11.61522,0.6397219,0.021923507
-11.6093,0.66927236,0.020581828
-11.60338,0.65786153,0.021104835
-11.59746,0.6767143,0.020149471
-11.59151,0.65946966,0.021519225
-11.58553,0.67774284,0.020460578
-11.57955,0.6610197,0.021528574
-11.57357,0.67510736,0.020521099
-11.56759,0.66250306,0.021635871
-11.56158,0.68108875,0.020696733
-11.55554,0.6735857,0.021290015
-11.5495,0.70112,0.019668717
-11.54346,0.6948644,0.02030873
-11.53742,0.7161728,0.019155737
-11.53145,0.7102411,0.019876685
-11.52555,0.7379214,0.01836412
-11.51965,0.7355948,0.018643858
-11.51375,0.771646,0.016548574
-11.50785,0.7698847,0.017084757
-11.50188,0.79351205,0.015936093
-11.49584,0.78503877,0.01640554
-11.4898,0.8026968,0.015426253
-11.48376,0.7915344,0.016297935
-11.47772,0.8065547,0.015406188
-11.47173,0.8015059,0.015853254
-11.46579,0.8226283,0.014597709
-11.45985,0.81420344,0.0150605
